"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","SEBC","JEE Based","GOVT","902645.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","3278.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRICAL ENGINEERING","EWS","GUJCET Based","GOVT","23351.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GOVT","17848.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRICAL ENGINEERING","SEBC","GUJCET Based","GOVT","23870.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRICAL ENGINEERING","ST","GUJCET Based","GOVT","33562.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRICAL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","11359.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRONICS &
COMMUNICATION ENGINEERING","EWS","GUJCET Based","GOVT","11902.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRONICS &
COMMUNICATION ENGINEERING","GEN","GUJCET Based","GOVT","11045.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRONICS &
COMMUNICATION ENGINEERING","SC","GUJCET Based","GOVT","30471.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRONICS &
COMMUNICATION ENGINEERING","SEBC","GUJCET Based","GOVT","20040.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ELECTRONICS &
COMMUNICATION ENGINEERING","GEN","JEE Based","GOVT","901727.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ENVIRONMENTAL ENGINEERING","GEN","GUJCET Based","GOVT","50143.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ENVIRONMENTAL ENGINEERING","GEN","JEE Based","GOVT","924724.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","ENVIRONMENTAL ENGINEERING -
TFWS","TFWS","GUJCET Based","GOVT","18675.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","EWS","GUJCET Based","GOVT","18438.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","GEN","GUJCET Based","GOVT","17175.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","SEBC","GUJCET Based","GOVT","24581.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","ST","GUJCET Based","GOVT","34597.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","GEN","JEE Based","GOVT","902453.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","MECHANICAL ENGINEERING","SC","JEE Based","GOVT","920242.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","EWS","GUJCET Based","GOVT","16150.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","GEN","GUJCET Based","GOVT","14286.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","SC","GUJCET Based","GOVT","31367.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GOVT","17303.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","EWS","JEE Based","GOVT","905298.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CHEMICAL ENGINEERING","GEN","JEE Based","GOVT","903008.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING","EWS","GUJCET Based","GOVT","38123.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","31640.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING","SEBC","GUJCET Based","GOVT","37326.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING","ST","GUJCET Based","GOVT","39033.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING","GEN","JEE Based","GOVT","900026.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","CIVIL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","21087.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","EWS","GUJCET Based","GOVT","14444.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","GEN","GUJCET Based","GOVT","9850.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","SC","GUJCET Based","GOVT","18538.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","SEBC","GUJCET Based","GOVT","14992.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","ST","GUJCET Based","GOVT","28499.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","GEN","JEE Based","GOVT","901605.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","SC","JEE Based","GOVT","907236.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING","SEBC","JEE Based","GOVT","904157.00"
"GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","COMPUTER ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","6545.00"
